Coluna1,Coluna2,Coluna3,Coluna4,Coluna5,Coluna6
002,016,019,031,043,060
033,034,037,046,052,060
010,016,027,034,036,057
030,037,045,054,057,058
008,011,014,039,048,053
012,014,028,042,045,055
017,020,022,035,041,042
011,013,016,036,053,057
012,033,035,036,044,052
009,016,031,041,053,055
004,013,020,022,025,060
009,018,023,042,047,049
008,010,020,027,028,050
002,009,034,049,051,055
008,021,023,034,042,047
004,018,029,047,048,059
016,021,028,041,049,051
004,009,031,032,042,046
017,020,024,027,040,060
004,031,042,045,049,056
011,017,025,038,052,057
007,016,019,022,028,055
003,004,011,040,042,058
008,009,017,030,058,060
